Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq , Base_Seq , Base_Seq     , Base_Seq , Lambda_Seq , Lambda_Seq   , Lambda_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq     , RAJA_Seq , RAJA_Seq , RAJA_Seq , Base_OpenMP , Base_OpenMP  , Base_OpenMP , Lambda_OpenMP , Lambda_OpenMP , Lambda_OpenMP , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP  , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP
Kernel                      , default  , library  , replicate_64 , direct   , default    , replicate_64 , direct     , default  , new      , library  , replicate_64 , direct   , funcptr  , virtfunc , default     , replicate_64 , direct      , default       , replicate_64  , direct        , default     , new         , replicate_64 , direct      , funcptr     , virtfunc   
Stream_DOT                  , 8.421881 ,  Not run ,      Not run ,  Not run ,   7.986166 ,      Not run ,    Not run , 8.000766 , 8.003532 ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    9.521359 ,      Not run ,     Not run ,      9.786050 ,       Not run ,       Not run ,    9.911836 ,    9.913778 ,      Not run ,     Not run ,     Not run ,     Not run
Stream_MUL                  , 4.005988 ,  Not run ,      Not run ,  Not run ,   3.624824 ,      Not run ,    Not run , 3.278460 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    3.748706 ,      Not run ,     Not run ,      4.252989 ,       Not run ,       Not run ,    4.350161 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Stream_TRIAD                , 4.327082 ,  Not run ,      Not run ,  Not run ,   4.061970 ,      Not run ,    Not run , 4.056215 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    4.471551 ,      Not run ,     Not run ,      4.895555 ,       Not run ,       Not run ,    4.822781 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_CONVECTION3DPA         , 1.428519 ,  Not run ,      Not run ,  Not run ,    Not run ,      Not run ,    Not run , 1.425895 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.475269 ,      Not run ,     Not run ,       Not run ,       Not run ,       Not run ,    0.556311 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_DEL_DOT_VEC_2D         , 3.550405 ,  Not run ,      Not run ,  Not run ,   3.446012 ,      Not run ,    Not run , 3.455177 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    1.272677 ,      Not run ,     Not run ,      1.293244 ,       Not run ,       Not run ,    1.342815 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_DIFFUSION3DPA          , 2.811096 ,  Not run ,      Not run ,  Not run ,    Not run ,      Not run ,    Not run , 2.762914 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.836177 ,      Not run ,     Not run ,       Not run ,       Not run ,       Not run ,    0.828641 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_EDGE3D                 , 83.787491 ,  Not run ,      Not run ,  Not run ,  69.211826 ,      Not run ,    Not run , 69.192284 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,   22.548375 ,      Not run ,     Not run ,     23.099117 ,       Not run ,       Not run ,   23.012127 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_ENERGY                 , 6.369605 ,  Not run ,      Not run ,  Not run ,   6.257009 ,      Not run ,    Not run , 6.383940 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    5.755355 ,      Not run ,     Not run ,      5.919135 ,       Not run ,       Not run ,    5.802787 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_FIR                    , 2.991165 ,  Not run ,      Not run ,  Not run ,   2.991226 ,      Not run ,    Not run , 2.777488 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    1.673915 ,      Not run ,     Not run ,      0.970675 ,       Not run ,       Not run ,    0.760376 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_LTIMES                 , 2.333383 ,  Not run ,      Not run ,  Not run ,   2.341595 ,      Not run ,    Not run , 2.363396 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.588836 ,      Not run ,     Not run ,      0.601226 ,       Not run ,       Not run ,    0.652725 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_LTIMES_NOVIEW          , 2.543717 ,  Not run ,      Not run ,  Not run ,   2.333269 ,      Not run ,    Not run , 2.357002 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.588700 ,      Not run ,     Not run ,      0.698647 ,       Not run ,       Not run ,    0.733709 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_MASS3DEA               , 0.283119 ,  Not run ,      Not run ,  Not run ,    Not run ,      Not run ,    Not run , 0.241665 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.060927 ,      Not run ,     Not run ,       Not run ,       Not run ,       Not run ,    0.067494 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_MASS3DPA               , 1.097887 ,  Not run ,      Not run ,  Not run ,    Not run ,      Not run ,    Not run , 1.136341 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.286788 ,      Not run ,     Not run ,       Not run ,       Not run ,       Not run ,    0.314114 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_MATVEC_3D_STENCIL      , 15.330924 ,  Not run ,      Not run ,  Not run ,  15.383262 ,      Not run ,    Not run , 15.520271 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    6.423652 ,      Not run ,     Not run ,      6.392195 ,       Not run ,       Not run ,    6.481262 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_NODAL_ACCUMULATION_3D  , 1.352959 ,  Not run ,      Not run ,  Not run ,   1.347726 ,      Not run ,    Not run , 1.232491 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,   26.781835 ,      Not run ,     Not run ,     26.819523 ,       Not run ,       Not run ,   26.593877 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_PRESSURE               , 6.575050 ,  Not run ,      Not run ,  Not run ,   6.574605 ,      Not run ,    Not run , 6.634307 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    7.219322 ,      Not run ,     Not run ,      7.928884 ,       Not run ,       Not run ,    7.578477 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_VOL3D                  , 3.267154 ,  Not run ,      Not run ,  Not run ,   3.292673 ,      Not run ,    Not run , 3.293758 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    1.669943 ,      Not run ,     Not run ,      2.112207 ,       Not run ,       Not run ,    1.709346 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_ZONAL_ACCUMULATION_3D  , 1.027139 ,  Not run ,      Not run ,  Not run ,   0.946311 ,      Not run ,    Not run , 0.947363 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.478493 ,      Not run ,     Not run ,      0.479072 ,       Not run ,       Not run ,    0.482047 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Algorithm_SCAN              , 0.178394 ,  Not run ,      Not run ,  Not run ,   0.178454 ,      Not run ,    Not run , 0.178142 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.356662 ,      Not run ,     Not run ,      0.355609 ,       Not run ,       Not run ,    0.623298 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Algorithm_SORT              , 2.537036 ,  Not run ,      Not run ,  Not run ,    Not run ,      Not run ,    Not run , 2.665808 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,     Not run ,      Not run ,     Not run ,       Not run ,       Not run ,       Not run ,    0.991891 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Algorithm_SORTPAIRS         , 3.361212 ,  Not run ,      Not run ,  Not run ,    Not run ,      Not run ,    Not run , 3.341048 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,     Not run ,      Not run ,     Not run ,       Not run ,       Not run ,       Not run ,    1.560237 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Algorithm_REDUCE_SUM        , 0.083344 ,  Not run ,      Not run ,  Not run ,   0.083699 ,      Not run ,    Not run , 0.084395 , 0.083628 ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.096828 ,      Not run ,     Not run ,      0.096701 ,       Not run ,       Not run ,    0.096561 ,    0.097322 ,      Not run ,     Not run ,     Not run ,     Not run
