Mean Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq , Base_Seq , Base_Seq     , Base_Seq , Lambda_Seq , Lambda_Seq   , Lambda_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq     , RAJA_Seq , RAJA_Seq , RAJA_Seq , Base_OpenMP , Base_OpenMP  , Base_OpenMP , Lambda_OpenMP , Lambda_OpenMP , Lambda_OpenMP , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP  , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP
Kernel                      , default  , library  , replicate_64 , direct   , default    , replicate_64 , direct     , default  , new      , library  , replicate_64 , direct   , funcptr  , virtfunc , default     , replicate_64 , direct      , default       , replicate_64  , direct        , default     , new         , replicate_64 , direct      , funcptr     , virtfunc   
Stream_DOT                  ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.055 ,      Not run ,    Not run ,    1.053 ,    1.052 ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.885 ,      Not run ,     Not run ,         0.861 ,       Not run ,       Not run ,       0.850 ,       0.850 ,      Not run ,     Not run ,     Not run ,     Not run
Stream_MUL                  ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.105 ,      Not run ,    Not run ,    1.222 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.069 ,      Not run ,     Not run ,         0.942 ,       Not run ,       Not run ,       0.921 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Stream_TRIAD                ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.065 ,      Not run ,    Not run ,    1.067 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.968 ,      Not run ,     Not run ,         0.884 ,       Not run ,       Not run ,       0.897 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_CONVECTION3DPA         ,    1.000 ,  Not run ,      Not run ,  Not run ,    Not run ,      Not run ,    Not run ,    1.002 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       3.006 ,      Not run ,     Not run ,       Not run ,       Not run ,       Not run ,       2.568 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_DEL_DOT_VEC_2D         ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.030 ,      Not run ,    Not run ,    1.028 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.790 ,      Not run ,     Not run ,         2.745 ,       Not run ,       Not run ,       2.644 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_DIFFUSION3DPA          ,    1.000 ,  Not run ,      Not run ,  Not run ,    Not run ,      Not run ,    Not run ,    1.017 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       3.362 ,      Not run ,     Not run ,       Not run ,       Not run ,       Not run ,       3.392 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_EDGE3D                 ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.211 ,      Not run ,    Not run ,    1.211 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       3.716 ,      Not run ,     Not run ,         3.627 ,       Not run ,       Not run ,       3.641 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_ENERGY                 ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.018 ,      Not run ,    Not run ,    0.998 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.107 ,      Not run ,     Not run ,         1.076 ,       Not run ,       Not run ,       1.098 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_FIR                    ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.000 ,      Not run ,    Not run ,    1.077 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.787 ,      Not run ,     Not run ,         3.082 ,       Not run ,       Not run ,       3.934 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_LTIMES                 ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.996 ,      Not run ,    Not run ,    0.987 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       3.963 ,      Not run ,     Not run ,         3.881 ,       Not run ,       Not run ,       3.575 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
