FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq-default          ,         , Base_Seq-library          ,         , Base_Seq-replicate_64     ,         , Base_Seq-direct           ,         , Lambda_Seq-default        ,         , Lambda_Seq-replicate_64   ,         , Lambda_Seq-direct         ,         , RAJA_Seq-default          ,         , RAJA_Seq-new              ,         , RAJA_Seq-library          ,         , RAJA_Seq-replicate_64     ,         , RAJA_Seq-direct           ,         , RAJA_Seq-funcptr          ,         , RAJA_Seq-virtfunc         ,         , Base_OpenMP-default       ,         , Base_OpenMP-replicate_64  ,         , Base_OpenMP-direct        ,         , Lambda_OpenMP-default     ,         , Lambda_OpenMP-replicate_64,         , Lambda_OpenMP-direct      ,         , RAJA_OpenMP-default       ,         , RAJA_OpenMP-new           ,         , RAJA_OpenMP-replicate_64  ,         , RAJA_OpenMP-direct        ,         , RAJA_OpenMP-funcptr       ,         , RAJA_OpenMP-virtfunc      ,        
Polybench_2MM               , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.0036                   ,         , 0                         ,         , 0                         ,         , -0.00031                  ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.057                     ,         , 0                         ,         , 0                         ,         , 0.025                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Polybench_3MM               , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.0025                   ,         , 0                         ,         , 0                         ,         , -0.0036                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.042                     ,         , 0                         ,         , 0                         ,         , 0.033                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Polybench_ADI               , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.013                    ,         , 0                         ,         , 0                         ,         , 0.012                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.096                     ,         , 0                         ,         , 0                         ,         , 0.079                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Polybench_ATAX              , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.0004                    ,         , 0                         ,         , 0                         ,         , 0.0023                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.041                     ,         , 0                         ,         , 0                         ,         , 0.15                      ,OVER_TOL , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Polybench_FDTD_2D           , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.074                    ,         , 0                         ,         , 0                         ,         , -0.072                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.047                     ,         , 0                         ,         , 0                         ,         , 0.0065                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Polybench_FLOYD_WARSHALL    , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.033                     ,         , 0                         ,         , 0                         ,         , 0.038                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.0081                    ,         , 0                         ,         , 0                         ,         , 0.016                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Polybench_GEMM              , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.0087                    ,         , 0                         ,         , 0                         ,         , 0.0077                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.025                     ,         , 0                         ,         , 0                         ,         , 0.04                      ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Polybench_GEMVER            , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.00092                   ,         , 0                         ,         , 0                         ,         , 0.00098                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , -0.0027                   ,         , 0                         ,         , 0                         ,         , -0.0032                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Polybench_GESUMMV           , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.0014                   ,         , 0                         ,         , 0                         ,         , 0.0058                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.006                     ,         , 0                         ,         , 0                         ,         , 0.086                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Polybench_HEAT_3D           , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.037                    ,         , 0                         ,         , 0                         ,         , -0.027                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.11                      ,OVER_TOL , 0                         ,         , 0                         ,         , 0.053                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
